n, n * root(n), n * n, n * log(n) 
365750,0.0016419403667937732,5.77338529752075E-4,0.077519401017231
366000,0.0016769754842498193,4.5728285532242366E-4,0.07919631088669357
366250,0.0016406094132341306,3.654393047341763E-4,0.07750122422154958
366500,0.001640328215254521,3.088866793554378E-4,0.07751025405490919
366750,0.00165607559160753,2.701427701969941E-4,0.07827688212776264
367000,0.0016374719467535553,2.3563543208788792E-4,0.07741981057242207
367250,0.001625241146645352,2.092531263895756E-4,0.07686362005026082
367500,0.0016392887421611197,1.9098253881939253E-4,0.07755024746601566
367750,0.0016276717847527415,1.7317642294021734E-4,0.07702277991918548
368000,0.0016232764670459597,-1.7984534384325477E-4,0.07683682051726681
368250,0.0017060610970054738,-2.0823140527233971E-4,0.08077852680223228
368500,0.0016294956633622403,-2.2135740052657156E-4,0.07717540723740632
368750,0.0016470865471194549,-2.522034169122319E-4,0.07803086658092385
369000,0.0016279247055891383,-2.855346520784757E-4,0.07714513268170349
369250,0.0016209235985806035,-3.326349030802131E-4,0.07683531649520604
369500,0.0016459032068793082,-4.068213794609558E-4,0.07804169104504814
369750,0.0016458798735316542,-5.111957660939029E-4,0.07806286245957848
370000,0.0016233289192435752,-6.778878307328169E-4,0.07701525158547783
370250,0.001650092826986088,-0.001050464774218654,0.07830732381356038
370500,0.0016246998730025087,-0.0021718580871886266,0.07712423380081351
370750,0.0017415036502633513,0.02367019912303116,0.08269242598701279
371000,0.0016225671146706299,0.0018147305159334388,0.0770668414177639
371250,0.0016243766534840322,9.479655360349347E-4,0.07717472542657533
371500,0.0018844932819913297,7.443094091091374E-4,0.08955840074510678
371750,0.0016201741058820443,4.8376450082214013E-4,0.07701879565510225
372000,0.0016519053981977525,3.965942299086464E-4,0.07854950043875794
372250,0.001615369868593818,3.2435423192466996E-4,0.0768339869782251
372500,0.0016166909658350244,2.7901842310177255E-4,0.07691861555791593
372750,0.0016489435796149055,2.495728563821845E-4,0.07847534209078047
373000,0.0016149777381236836,2.1768631449181025E-4,0.07688061600998242
373250,0.001615241143406656,1.9627423427273419E-4,0.07691490261103015
373500,0.001727610901831944,1.9112618794655384E-4,0.08228900150749942
373750,0.0016121322364979088,-1.8013962422944806E-4,0.07681024824296824
374000,0.0016345190316290465,-2.0121956029504914E-4,0.07789885190482386
374250,0.0016178127899110597,-2.216824772596451E-4,0.07712440524209524
374500,0.0016226508784980454,-2.5064859942027244E-4,0.07737685258570816
374750,0.0016373301010654396,-2.8975014798918224E-4,0.07809883293037523
